: 1600992761:0;ls -la /usr/local/share
: 1601431994:0;neofetch
: 1601432025:0;fortune | cowsay
: 1601432054:0;neofetch
: 1601432073:0;/Users/Brent/Files/Config/Shells/zsh/
: 1601432076:0;la
: 1601432088:0;neofetch
: 1601432758:0;rm .oh-my-zsh
: 1601432808:0;neofetch
: 1601432979:0;fortune | cowsay
: 1601432982:0;neofetch
: 1601433003:0;z /Users/Brent/Files/Config/Shells/zsh
: 1601433017:0;touch .gitignore
: 1601433025:0;a .
: 1601433096:0;g status
: 1601433104:0;rm -rf OhMyZSH
: 1601433111:0;fortune | cowsay
: 1601433140:0;g status
: 1601433181:0;fortune | cowsay
: 1601433185:0;rm .DS_Store
: 1601433189:0;g status
: 1601433215:0;git rm -r .DS_Store
: 1601433222:0;g status
: 1601433498:0;$PWD/zshrc.zsh
: 1601433535:0;echo $CWD
: 1601433566:0;pwd
: 1601433610:0;realpath --relative-to=$absolute $current
: 1601433638:0;realpath
: 1601433642:0;realpath --help
: 1601433665:0;--relative-base=$PWD
: 1601433676:0;realpath --relative-base
: 1601433694:0;realpath --relative-base=zshrc.zsh
: 1601433728:0;realpath --relative-to"zshrc.zsh"
: 1601433746:0;realpath --relative
: 1601433759:0;realpath --relative-base
: 1601433764:0;$PWD
: 1601433770:0;echo $PWD
: 1601433802:0;realpath --relative-to=~
: 1601433811:0;realpath --relative-to="~"
: 1601433820:0;realpath
: 1601433823:0;realpath --help
: 1601433844:0;--relative-to=DIR
: 1601433848:0;realpath --relative-to=DIR
: 1601433853:0;realpath --relative-to=CWD
: 1601433857:0;realpath --relative-to=$PWD
: 1601433895:0;realpath --relative-to=/Users/
: 1601433935:0;man realpath
: 1601433971:0;bi realpath
: 1601433996:0;bs cat
: 1601434026:0;bs nmap
: 1601434045:0;bd ccat
: 1601434054:0;which bd
: 1601434062:0;brew desc ccat
: 1601434075:0;bi ccat
: 1601434133:0;which cat
: 1601434141:0;reload
: 1601434147:0;which cat
: 1601434165:0;cat zshrc
: 1601434172:0;cat zshrc.zsh
: 1601434179:0;bi pygments
: 1601434198:0;bs chroma
: 1601434211:0;brew desc chroma
: 1601434237:0;b desc ccat
: 1601434239:0;reload
: 1601434243:0;b desc ccat
: 1601434264:0;b desc chroma
: 1601434288:0;brew edit ccat
: 1601434340:0;which cat
: 1601434348:0;dt
: 1601434363:0;touch test/packages.list
: 1601434373:0;man touch
: 1601434453:0;b desc take
: 1601434618:0;echo $_
: 1601434677:0;touch -p a/b/c/ass.txt
: 1601434687:0;touch a/b/c/ass.txt
: 1601434776:0;mkdir -p /my/other/path/here && touch $_/cpredthing.txt
: 1601434785:0;mkdir -p my/other/path/here && touch $_/cpredthing.txt
: 1601434788:0;tree
: 1601434807:0;open z Documentation
: 1601434818:0;z /Users/Brent/Files/Development/Documentation
: 1601434822:0;open .
: 1601435226:0;fortune | cowsay
: 1601435230:0;yt https://www.youtube.com/watch\?v\=BXV19NfP3hA
: 1601435246:0;la
: 1601435254:0;l
: 1601435280:0;mv "Wanda Jackson Funnel Of Love-BXV19NfP3hA.webm" "Wanda Jackson Funnel Of Love.webm"
: 1601435282:0;l
: 1601435299:0;mv "Wanda Jackson Funnel Of Love.webm" "Wanda Jackson - Funnel Of Love.webm"
: 1601435300:0;l
: 1601446882:0;fortune | cowsay
: 1601447782:0;echo $ITERM_PROFILE
: 1601448023:0;z /Users/Brent/Files/Config/Shells/zsh
: 1601448025:0;a .
: 1601448042:0;~
: 1601448053:0;z /Users/Brent/Files/Config/Shells/zsh && open .
: 1601448067:0;~
: 1601448078:0;z /Users/Brent/Files/Config/Shells/zsh && a .
: 1601448430:0;z /usr/local
: 1601448432:0;l
: 1601449406:0;tty
: 1601449441:0;fortune | cowsay
: 1601449809:0;reload
: 1601449826:0;z /Users/Brent/Files/Config/Shells/zsh
: 1601450281:0;neofetch
: 1601451883:0;fortune | cowsay
: 1601451890:0;z /Users/Brent/Files/Config/Shells/zsh&& open .
: 1601452053:0;fortune | cowsay
: 1601452054:0;ls -la
: 1601452090:0;fortune | cowsay
: 1601452095:0;~
: 1601452097:0;la
: 1601452148:0;rm .zcompdump-MacBookPro-5.8 .zcompdump.MacBookPro.local.5017
: 1601452150:0;la
: 1601452164:0;rm zcompdump-macOS-5.8
: 1601452169:0;la
: 1601452175:0;rm .zcompdump-macOS-5.8
: 1601452177:0;la
: 1601452196:0;open .
: 1601452391:0;fortune | cowsay
: 1601452392:0;pwd
: 1601452609:0;la
: 1601452688:0;z /Users/Brent/Files/Config/Shells/zsh
: 1601453670:0;fortune | cowsay
: 1601454026:0;dt
: 1601454028:0;gc https://github.com/mozilla/Fira/tree/master/otf
: 1601454034:0;g cl https://github.com/mozilla/Fira/tree/master/otf
: 1601454042:0;g clone https://github.com/mozilla/Fira/tree/master/otf
: 1601454057:0;gc https://github.com/mozilla/Fira
: 1601454060:0;gcl https://github.com/mozilla/Fira
: 1601454129:0;gcl https://github.com/hbin/top-programming-fonts
: 1601454160:0;mv top-programming-fonts ~/Desktop
: 1601458820:0;fortune | cowsay
: 1601458832:0;z /Users/Brent/Files/Config/Shells/zsh/
: 1601458835:0;..
: 1601458849:0;Terminals/iTerm/Icons/
: 1601458855:0;open /
: 1601458865:0;open .
: 1601458946:0;fortune | cowsay
: 1601459043:0;"time to build a node app" | cowsay
: 1601459164:0;fortune | cowsay
: 1601459171:0;echo "time to build a node app" | cowsay
: 1601459783:0;fortune | cowsay
: 1601459834:0;zshconfig
: 1601459858:0;fortune | cowsay
: 1601459863:0;l
: 1601459899:0;fortune | cowsay
: 1601459989:0;neofetch
: 1601460064:0;fortune | cowsay
: 1601460078:0;l
: 1601460123:0;fortune | cowsay
: 1601460166:0;http://puddletowndesign.com
: 1601460508:0;fortune | cowsay
: 1601461201:0;z /Users/Brent/Files/Config/Shells/zsh
: 1601461203:0;a .
: 1601461583:0;~/.oh-my-zsh/custom/plugins/
: 1601461586:0;l
: 1601462497:0;qs --help
: 1601463020:0;fortune | cowsay
: 1601463023:0;z /Users/Brent/Files/Config/
: 1601463033:0;Shells/zsh
: 1601463055:0;a .
: 1601464455:0;fortune | cowsay
: 1601464457:0;~
: 1601464487:0;csslinter
: 1601464515:0;rm .scss-lint.yml
: 1601464546:0;z /Users/Brent/Files/Config
: 1601464560:0;take Linters
: 1601464571:0;linters
: 1601464586:0;mdlinter
: 1601464604:0;open .
: 1601464959:0;reload
: 1601464963:0;linters
: 1601465044:0;jshinter
: 1601465057:0;csslinter
: 1601465338:0;fortune | cowsay
: 1601465340:0;g i
: 1601465344:0;gi
: 1601465349:0;g init
: 1601465430:0;g aa
: 1601465445:0;g c "reimport"
: 1601465457:0;~
: 1601465458:0;la
: 1601465493:0;touch README.md
: 1601465670:0;l
: 1601465673:0;csslinter
: 1601465803:0;jshinter
: 1601465834:0;fortune | cowsay
: 1601465850:0;jshinter
: 1601466214:0;fortune | cowsay
: 1601466218:0;update
: 1601469857:0;fortune | cowsay
: 1601469864:0;~
: 1601469867:0;la
: 1601469978:0;ls -la /var/www/ | grep "\->"
: 1601469993:0;ls -la | grep "\->"
: 1601471496:0;l
: 1601471497:0;la
: 1601472901:0;l
: 1601473030:0;reload
: 1601473059:0;g show
: 1601473212:0;fortune | cowsay
: 1601473234:0;cd .oh-my-zsh
: 1601473234:0;l
: 1601473241:0;man tree
: 1601473265:0;tree -d
: 1601473329:0;l
: 1601473335:0;cd plugins
: 1601473336:0;la
: 1601473344:0;open .
: 1601473926:0;man tree
: 1601473955:0;reload
: 1601473957:0;man tree
: 1601474076:0;gs
: 1601474082:0;g s
: 1601474092:0;git status
: 1601474274:0;chuck 
: 1601474294:0;reload
: 1601474296:0;chuck 
: 1601474363:0;fortune | cowsay
: 1601474380:0;chuck_cow
: 1601474456:0;la
: 1601474748:0;fortune | cowsay
: 1601474748:0;dt
: 1601474778:0;brew list
: 1601474794:0;brew list > packages.list
: 1601474871:0;man nocorrect
: 1601475047:0;echo $ZSH_CUSTOM
: 1601475138:0;open ../custom
: 1601475205:0;git status
: 1601475225:0;alias
: 1601475472:0;fortune | cowsay
: 1601475739:0;reload
: 1601475748:0;...
: 1601475772:0;reload
: 1601475781:0;z /Users/Brent/Files/Config/OhMyZSH/custom/
: 1601475787:0;../
: 1601475795:0;git status
: 1601475908:0;../Shells/zsh/
: 1601475910:0;a .
: 1601475922:0;git status
: 1601476121:0;fortune | cowsay
: 1601476169:0;reload
: 1601476176:0;fortune | cowsay
: 1601476183:0;cd oh-my-zsh/
: 1601476200:0;cd ....
: 1601476203:0;cd OhMyZSH
: 1601476207:0;git status
: 1601476250:0;reload
: 1601480141:0;fortune | cowsay
: 1601480175:0;RELOAD
: 1601480180:0;reload
: 1601480185:0;fortune | cowsay
: 1601480398:0;reload
: 1601480718:0;git status
: 1601480797:0;reload
: 1601481060:0;fortune | cowsay
: 1601481092:0;grep "GIT_PROMPT*"
: 1601481542:0;man direnv
: 1601481561:0;b desc direnv
: 1601481724:0;bi direnv
: 1601482197:0;reload
: 1601482417:0;fortune | cowsay
: 1601482425:0;a .
: 1601482944:0;man fortune
: 1601483045:0;fortune -f
: 1601483290:0;chuck_cow #fortune -o | cowsay
: 1601483593:0;reload
: 1601484016:0;chuck_cow #fortune -o | cowsay
: 1601484028:0;../
: 1601484040:0;cd zsh/
: 1601484080:0;chuck_cow #fortune -o | cowsay
: 1601484632:0;..
: 1601484638:0;chuck_cow #fortune -o | cowsay
: 1601484641:0;..
: 1601484733:0;chuck_cow #fortune -o | cowsay
: 1601484761:0;../
: 1601484989:0;chuck_cow #fortune -o | cowsay
: 1601486781:0;sudo ls
: 1601487058:0;ls
: 1601487061:0;l
: 1601487064:0;la
: 1601487846:0;chuck_cow #fortune -o | cowsay
: 1601487857:0;z /Users/Brent/Files/Config/OhMyZSH
: 1601487969:0;chuck_cow #fortune -o | cowsay
: 1601488428:0;z /Users/Brent/Files/Movies/.p
: 1601488437:0;open .
: 1601509795:0;Config/Shells/zsh/
: 1601509797:0;gs
: 1601509802:0;g s
: 1601509810:0;g
: 1601509819:0;a .
: 1601509825:0;git s
: 1601509831:0;gs
: 1601509865:0;chuck_cow #fortune -o | cowsay
: 1601510592:0;sudo ls
: 1601510820:0;chuck_cow #fortune -o | cowsay
: 1601516467:0;echo $PATH
: 1601516593:0;chuck_cow #fortune -o | cowsay
: 1601516832:0;../../OhMyZSH/plugins/
: 1601516913:0;pwd
: 1601516958:0;chuck_cow #fortune -o | cowsay
: 1601530262:0;l
: 1601530266:0;cd Documents/
: 1601530266:0;l
: 1601530297:0;touch OSs/.nosync
: 1601530354:0;reload
: 1601530359:0;touch OSs/.nosync
: 1601530367:0;which touch
: 1601530409:0;chuck_cow #fortune -o | cowsay
: 1601530428:0;cd Documents/OSs
: 1601530434:0;touch .nosync
: 1601530444:0;../
: 1601530450:0;touch qBittorrent\ Torrent\ Files/.nosync
: 1601530469:0;chuck_cow #fortune -o | cowsay
: 1601530472:0;touch .nosync
: 1601535072:0;chuck_cow #fortune -o | cowsay
: 1601535432:0;z /Users/Brent/Files/Config/Shells/zsh
: 1601535473:0;\

: 1601535500:0;chuck_cow #fortune -o | cowsay
: 1601535534:0;z /Users/Brent/Files/Config/Shells/zsh
: 1601535637:0;chuck_cow #fortune -o | cowsay
: 1601535774:0;z /Users/Brent/Files/Config/Shells/zsh
